id;date;details;status;payment_method;payment_date;payment_amount
1;2020-12-06T15:18:07;RAM Focused;PAID;CASH_ON_DELIVERY;2020-12-06T23:40:14;64379
2;2020-12-06T12:08:13;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-12-06T17:18:31;17323
3;2020-12-06T16:35:38;Incredible Baby;CANCELLED;PAYPAL;2020-12-06T20:07:19;11017
4;2020-12-06T14:05:33;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-12-06T14:09:41;51438
5;2020-12-06T08:45:41;function;PAID;PAYPAL;2020-12-07T01:19:46;32278
6;2020-12-06T09:45:29;action-items;CANCELLED;CASH_ON_DELIVERY;2020-12-06T23:32:41;5232
7;2020-12-07T02:32:12;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-12-06T20:09:34;62169
8;2020-12-06T12:27:16;Toys;ISSUED;PAYPAL;2020-12-06T23:05:13;10756
9;2020-12-06T13:57:41;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-12-07T03:41:14;58055
10;2020-12-06T12:35:26;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-12-07T01:01:37;94075
