id;placed_date;status;code;customer_id
1;2020-12-06T22:40:07;COMPLETED;Georgia calculate withdrawal;1
2;2020-12-06T09:36:37;COMPLETED;compress Steel out-of-the-box;2
3;2020-12-06T11:07:49;PENDING;Concrete;1
4;2020-12-07T00:33:44;CANCELLED;Investment Account;2
5;2020-12-06T11:50:34;PENDING;United States of America;1
6;2020-12-07T02:02:38;CANCELLED;IB Industrial Credit Card Account;2
7;2020-12-07T05:09:03;CANCELLED;Cotton Egyptian Pound;1
8;2020-12-06T14:05:07;COMPLETED;Home Loan Account;2
9;2020-12-06T22:59:23;COMPLETED;Human;1
10;2020-12-06T09:08:01;CANCELLED;payment;2
