id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-12-06T08:06:17;payment unleash Jamaican Dollar;1
2;Rest;2020-12-07T03:22:47;Plains;2
3;Quality Plastic plum;2020-12-06T07:43:09;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-12-07T04:10:21;Architect SSL;4
5;zero tolerance;2020-12-07T01:06:40;user-facing CSS;5
6;ADP Ouguiya;2020-12-06T21:03:08;Garden;6
7;auxiliary;2020-12-07T05:19:08;functionalities Bedfordshire withdrawal;7
8;Data;2020-12-06T08:17:09;Viaduct hybrid;8
9;mesh;2020-12-07T06:42:48;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-12-07T04:41:42;Re-engineered withdrawal Ball;10
