id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;Texas Concrete;2020-12-06T23:54:33;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-12-06T11:47:15;75071;1
2;Rhode Island bypassing SQL;2020-12-06T14:42:37;Frozen online streamline;ISSUED;CREDIT_CARD;2020-12-07T06:29:43;68011;2
3;lime program;2020-12-06T09:57:40;parse Horizontal Shirt;ISSUED;PAYPAL;2020-12-06T10:48:13;82892;3
4;Buckinghamshire Director Gloves;2020-12-06T14:28:23;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-12-06T07:03:24;33894;4
5;attitude-oriented;2020-12-06T16:56:31;Integration structure;CANCELLED;PAYPAL;2020-12-06T19:04:01;72584;5
6;Internal Licensed Steel Towels RSS;2020-12-06T23:32:41;Chips;PAID;CREDIT_CARD;2020-12-07T00:28:21;90614;6
7;Toys Cotton;2020-12-06T16:02:02;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-12-06T13:45:26;42722;7
8;Arizona Barbados Dollar;2020-12-07T00:31:44;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-12-06T21:35:12;44406;8
9;Generic Ethiopian Birr Assurance;2020-12-06T13:00:35;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-12-06T20:56:05;93110;9
10;Concrete;2020-12-07T05:44:21;paradigms system;PAID;CREDIT_CARD;2020-12-06T08:10:33;93817;10
